n_estimators,eta,min_child_weight,max_depth,colsample_bytree,subsample,alpha,best_it
100,0.01,5,4,0.9,0.8,1,350
100,0.01,4,3,0.8,0.9,0,250
100,0.01,1,6,0.9,0.9,1,205
100,0.01,6,6,0.9,0.8,1,296
100,0.01,5,3,0.9,0.8,0,394
100,0.01,1,3,0.8,0.8,100,466
100,0.01,4,5,0.9,0.9,10,366
100,0.01,5,5,0.9,0.9,0,369
100,0.01,1,4,0.9,0.9,50,386
100,0.01,5,3,0.8,0.8,1,281
100,0.01,4,7,0.8,0.8,75,510
100,0.01,7,8,0.9,0.9,10,714
100,0.01,2,5,0.8,0.9,100,441
100,0.01,4,3,0.9,0.9,50,216
100,0.01,1,3,0.9,0.8,100,370
100,0.01,7,8,0.9,0.9,1,304
100,0.01,1,3,0.9,0.9,10,415
100,0.01,1,3,0.9,0.8,3,386
100,0.01,7,4,0.9,0.9,100,865
100,0.01,1,3,0.9,0.9,10,444
100,0.01,4,4,0.9,0.8,75,391
100,0.01,7,3,0.9,0.8,10,406
100,0.01,1,3,0.9,0.9,100,588
100,0.01,6,3,0.9,0.9,100,439
100,0.01,7,3,0.9,0.9,50,532
100,0.01,7,3,0.8,0.9,10,419
100,0.01,1,3,0.9,0.9,100,411
100,0.01,6,3,0.9,0.9,25,268
100,0.01,1,3,0.9,0.9,100,377
100,0.01,6,3,0.9,0.9,75,1300
100,0.01,5,3,0.9,0.8,3,285
100,0.01,1,8,0.9,0.8,1,677
100,0.01,1,8,0.8,0.8,75,867
100,0.01,7,6,0.9,0.9,100,1081
100,0.01,3,6,0.8,0.8,100,1191
100,0.01,7,4,0.9,0.9,100,789
100,0.01,1,3,0.8,0.9,50,394
100,0.01,6,6,0.8,0.9,0,585
100,0.01,7,3,0.8,0.8,10,455
100,0.01,1,3,0.8,0.9,0,284
100,0.01,1,3,0.9,0.9,7,399
100,0.01,2,7,0.9,0.9,100,239
100,0.01,1,3,0.8,0.9,1,429
100,0.01,1,3,0.8,0.8,1,365
100,0.01,3,4,0.9,0.8,75,501
100,0.01,1,4,0.9,0.9,100,402
100,0.01,7,3,0.9,0.8,3,351
100,0.01,7,4,0.8,0.9,100,475
100,0.01,2,8,0.9,0.9,5,814
100,0.01,6,6,0.9,0.9,1,536
100,0.01,4,4,0.8,0.8,100,540
100,0.01,7,4,0.9,0.9,7,963
100,0.01,3,7,0.8,0.8,75,354
100,0.01,3,5,0.9,0.8,50,614
100,0.01,6,3,0.9,0.9,100,506
100,0.01,1,6,0.9,0.9,25,849
100,0.01,6,3,0.9,0.9,25,368
100,0.01,4,5,0.9,0.8,0,728
100,0.01,1,3,0.9,0.9,7,290
100,0.01,5,3,0.9,0.8,75,321
100,0.01,7,8,0.8,0.9,3,477
100,0.01,3,4,0.8,0.8,3,355
100,0.01,7,6,0.8,0.8,0,352
100,0.01,6,5,0.8,0.9,1,408
100,0.01,7,7,0.8,0.9,50,278
100,0.01,6,7,0.8,0.9,100,569
100,0.01,7,8,0.8,0.8,7,237
100,0.01,7,8,0.8,0.9,1,374
100,0.01,7,3,0.8,0.8,10,372
100,0.01,1,5,0.9,0.8,100,480
100,0.01,1,3,0.9,0.8,10,361
100,0.01,1,3,0.9,0.8,100,501
100,0.01,1,6,0.8,0.9,1,396
100,0.01,1,3,0.9,0.9,7,381
100,0.01,7,7,0.9,0.8,75,657
100,0.01,7,6,0.9,0.8,100,555
100,0.01,4,3,0.8,0.8,100,456
100,0.01,7,3,0.9,0.9,100,478
100,0.01,6,3,0.9,0.8,25,517
100,0.01,6,3,0.8,0.8,100,334
100,0.01,1,3,0.9,0.8,3,411
100,0.01,1,3,0.9,0.8,10,379
100,0.01,1,3,0.9,0.9,0,299
100,0.01,7,3,0.8,0.8,50,393
100,0.01,6,4,0.8,0.8,10,575
100,0.01,7,4,0.9,0.9,100,438
100,0.01,6,4,0.8,0.8,100,389
100,0.01,1,3,0.9,0.9,100,269
100,0.01,1,3,0.9,0.8,100,419
100,0.01,1,3,0.8,0.9,10,372
100,0.01,7,5,0.9,0.9,100,383
100,0.01,4,3,0.9,0.8,75,369
100,0.01,1,3,0.8,0.8,0,445
100,0.01,5,8,0.9,0.9,50,1042
100,0.01,1,3,0.9,0.9,1,207
100,0.01,7,8,0.9,0.9,1,327
100,0.01,7,7,0.9,0.9,1,672
100,0.01,6,4,0.9,0.9,1,288
100,0.01,6,4,0.8,0.9,3,385
100,0.01,5,7,0.9,0.9,25,612
